"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","5","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test03_check_api_version[response2]","TestBookingAvailability.test03_check_api_version[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","3","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test01_check_that_response_code_is_200[response0]","TestBookingAvailability.test01_check_that_response_code_is_200[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","3","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test04_check_dates[response2]","TestBookingAvailability.test04_check_dates[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test02_check_that_response_contains_valid_json[response3]","TestBookingAvailability.test02_check_that_response_contains_valid_json[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response3]","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response2]","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test01_check_that_response_code_is_200[response2]","TestBookingAvailability.test01_check_that_response_code_is_200[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response0]","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response2]","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response2]","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response3]","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test01_check_that_response_code_is_200[response3]","TestBookingAvailability.test01_check_that_response_code_is_200[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response1]","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response1]","TestBookingAvailability.test07_check_that_hotel_details_contains_an_address1_of_type_string[response1]",""
